date,precipitation_mm,rain_mm,discharge_m3s,city
2025-08-09,,,4.5335007,Abbottabad
2025-08-10,,,4.675446,Abbottabad
2025-08-11,,,4.1760683,Abbottabad
2025-08-12,,,3.666594,Abbottabad
2025-08-13,,,4.7676644,Abbottabad
2025-08-14,,,4.7809606,Abbottabad
2025-08-15,,,7.165824,Abbottabad
2025-08-16,,,5.9342585,Abbottabad
2025-08-17,,,4.7543993,Abbottabad
2025-08-18,,,5.295062,Abbottabad
2025-08-19,,,13.689264,Abbottabad
2025-08-20,,,7.1096106,Abbottabad
2025-08-21,,,5.08135,Abbottabad
2025-08-22,,,4.7016425,Abbottabad
2025-08-23,,,4.1522865,Abbottabad
2025-08-24,,,5.591739,Abbottabad
2025-08-25,,,8.660509,Abbottabad
2025-08-26,,,7.2985086,Abbottabad
2025-08-27,,,5.886523,Abbottabad
2025-08-28,,,4.8076444,Abbottabad
2025-08-29,,,4.3456435,Abbottabad
2025-08-30,,,4.597576,Abbottabad
2025-08-31,,,4.956621,Abbottabad
2025-09-01,,,6.014553,Abbottabad
2025-09-02,,,5.5614524,Abbottabad
2025-09-03,,,5.7920365,Abbottabad
2025-09-04,,,5.295062,Abbottabad
2025-09-05,0.0,0.0,4.7016425,Abbottabad
2025-09-06,0.0,0.0,4.847901,Abbottabad
2025-09-07,0.0,0.0,4.248075,Abbottabad
2025-09-08,0.0,0.0,4.3579664,Abbottabad
2025-09-09,0.0,0.0,4.5207744,Abbottabad
2025-09-10,0.0,0.0,4.1286135,Abbottabad
2025-09-11,0.0,0.0,3.3151908,Abbottabad
2025-09-12,0.0,0.0,2.9264493,Abbottabad
2025-09-13,0.0,0.0,2.758374,Abbottabad
2025-09-14,0.0,0.0,2.74973,Abbottabad
2025-09-15,0.0,0.0,2.8194427,Abbottabad
2025-09-16,0.0,0.0,3.0457587,Abbottabad
2025-09-17,0.0,0.0,2.8018937,Abbottabad
2025-09-18,0.0,0.0,2.672823,Abbottabad
2025-09-19,0.0,0.0,3.0926065,Abbottabad
2025-09-20,0.0,0.0,2.5237086,Abbottabad
2025-09-21,0.0,0.0,2.2359364,Abbottabad
2025-09-22,0.0,0.0,1.9444218,Abbottabad
2025-09-23,0.0,0.0,1.8054338,Abbottabad
2025-09-24,0.0,0.0,1.6977394,Abbottabad
2025-09-25,5.0,0.0,1.6001594,Abbottabad
2025-09-26,0.0,0.0,1.8183827,Abbottabad
2025-09-27,0.0,0.0,1.6181831,Abbottabad
2025-09-28,0.0,0.0,1.3604782,Abbottabad
2025-09-29,0.0,0.0,1.2750974,Abbottabad
2025-09-30,0.0,0.0,1.1928048,Abbottabad
2025-10-01,0.0,0.0,1.1183612,Abbottabad
2025-10-02,2.3,0.0,1.0464447,Abbottabad
2025-10-03,2.8999999,0.0,1.3120646,Abbottabad
2025-10-04,0.3,0.0,1.1478305,Abbottabad
2025-10-05,9.1,0.0,1.1727014,Abbottabad
2025-10-06,29.2,4.7000003,3.655861,Abbottabad
2025-10-07,2.3000002,0.0,7.8104887,Abbottabad
2025-10-08,0.2,0.0,4.2844524,Abbottabad
2025-10-09,0.0,0.0,2.1841977,Abbottabad
2025-10-10,0.3,0.0,1.6181831,Abbottabad
2025-10-11,0.0,0.0,1.4378109,Abbottabad
2025-10-12,0.0,0.0,1.2961485,Abbottabad
2025-10-13,0.0,0.0,1.2029264,Abbottabad
2025-10-14,0.0,0.0,1.1183612,Abbottabad
2025-10-15,0.0,0.0,1.0464447,Abbottabad
2025-10-16,0.0,0.0,0.9769696,Abbottabad
2025-10-17,0.0,0.0,0.914256,Abbottabad
2025-10-18,0.0,0.0,0.8535316,Abbottabad
2025-10-19,0.0,0.0,0.7988709,Abbottabad
2025-10-20,0.0,0.0,0.74180686,Abbottabad
2025-10-21,0.0,0.0,0.69433784,Abbottabad
2025-10-22,0.0,0.0,0.65576994,Abbottabad
2025-10-23,0.0,0.0,0.61808,Abbottabad
2025-10-24,0.0,0.0,0.5703628,Abbottabad
2025-10-25,0.0,0.0,0.64058983,Abbottabad
2025-10-26,0.0,0.0,0.5848932,Abbottabad
2025-10-27,0.0,0.0,0.54525447,Abbottabad
2025-10-28,0.0,0.0,0.50660706,Abbottabad
2025-10-29,0.0,0.0,0.4689263,Abbottabad
2025-10-30,0.0,0.0,0.42889392,Abbottabad
2025-10-31,0.0,0.0,0.39958727,Abbottabad
2025-11-01,0.0,0.0,0.36772883,Abbottabad
2025-11-02,0.0,0.0,0.33659554,Abbottabad
2025-11-03,0.0,0.0,0.31219995,Abbottabad
2025-11-04,13.9,0.0,0.28233063,Abbottabad
2025-11-05,0.0,0.0,1.9241524,Abbottabad
2025-11-06,0.0,0.0,1.0558906,Abbottabad
2025-11-07,0.0,0.0,0.686553,Abbottabad
2025-11-08,0.0,0.0,0.46217716,Abbottabad
2025-11-09,0.0,0.0,0.38995266,Abbottabad
